"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1977-01","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063382","4.7.1.1.1.1","9.5","","","","1"
"1977-01","Nova Scotia","2021A000212","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063383","4.8.1.1.1.1","55.0","","","","1"
"1977-01","Nova Scotia","2021A000212","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063384","4.9.1.1.1.1","49.8","","","","1"
"1977-01","New Brunswick","2021A000213","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063565","5.1.1.1.1.1","487.1","","","","1"
"1977-01","New Brunswick","2021A000213","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063566","5.2.1.1.1.1","263.3","","","","1"
"1977-01","New Brunswick","2021A000213","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063567","5.3.1.1.1.1","228.6","","","","1"
"1977-01","New Brunswick","2021A000213","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063568","5.4.1.1.1.1","202.3","","","","1"
"1977-01","New Brunswick","2021A000213","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063569","5.5.1.1.1.1","26.3","","","","1"
"1977-01","New Brunswick","2021A000213","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063570","5.6.1.1.1.1","34.7","","","","1"
"1977-01","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063571","5.7.1.1.1.1","13.2","","","","1"
"1977-01","New Brunswick","2021A000213","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063572","5.8.1.1.1.1","54.1","","","","1"
"1977-01","New Brunswick","2021A000213","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063573","5.9.1.1.1.1","46.9","","","","1"
"1977-01","Quebec","2021A000224","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063754","6.1.1.1.1.1","4781.7","","","","1"
"1977-01","Quebec","2021A000224","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063755","6.2.1.1.1.1","2834.9","","","","1"
"1977-01","Quebec","2021A000224","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063756","6.3.1.1.1.1","2570.8","","","","1"
"1977-01","Quebec","2021A000224","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063757","6.4.1.1.1.1","2324.2","","","","1"
"1977-01","Quebec","2021A000224","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063758","6.5.1.1.1.1","246.6","","","","1"
"1977-01","Quebec","2021A000224","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063759","6.6.1.1.1.1","264.1","","","","1"
"1977-01","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063760","6.7.1.1.1.1","9.3","","","","1"
"1977-01","Quebec","2021A000224","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063761","6.8.1.1.1.1","59.3","","","","1"
"1977-01","Quebec","2021A000224","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063762","6.9.1.1.1.1","53.8","","","","1"
"1977-01","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","6275.0","","","","1"
"1977-01","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063944","7.2.1.1.1.1","4048.3","","","","1"
"1977-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","3776.6","","","","1"
"1977-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063946","7.4.1.1.1.1","3250.8","","","","1"
"1977-01","Ontario","2021A000235","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063947","7.5.1.1.1.1","525.8","","","","1"
"1977-01","Ontario","2021A000235","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063948","7.6.1.1.1.1","271.7","","","","1"
"1977-01","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063949","7.7.1.1.1.1","6.7","","","","1"
"1977-01","Ontario","2021A000235","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063950","7.8.1.1.1.1","64.5","","","","1"
"1977-01","Ontario","2021A000235","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063951","7.9.1.1.1.1","60.2","","","","1"
"1977-01","Manitoba","2021A000246","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064132","8.1.1.1.1.1","742.8","","","","1"
"1977-01","Manitoba","2021A000246","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064133","8.2.1.1.1.1","459.2","","","","1"
"1977-01","Manitoba","2021A000246","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064134","8.3.1.1.1.1","434.9","","","","1"
"1977-01","Manitoba","2021A000246","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064135","8.4.1.1.1.1","369.1","","","","1"
"1977-01","Manitoba","2021A000246","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064136","8.5.1.1.1.1","65.8","","","","1"
"1977-01","Manitoba","2021A000246","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064137","8.6.1.1.1.1","24.3","","","","1"
"1977-01","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064138","8.7.1.1.1.1","5.3","","","","1"
"1977-01","Manitoba","2021A000246","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064139","8.8.1.1.1.1","61.8","","","","1"
